gpu,fold,arm,k,regret
4090,2,random_cond,128,1.032569
4090,2,random_cond,256,1.022243
4090,2,random_cond,512,1.013813
4090,2,random_cond,1024,1.009703
4090,2,random_cond,2048,1.005432
4090,2,random_cond,4096,1.003144
4090,2,tpe,1,1.614529
4090,2,tpe,2,1.333966
4090,2,tpe,4,1.217478
4090,2,tpe,8,1.130496
4090,2,tpe,16,1.090438
4090,2,tpe,32,1.065870
4090,2,tpe,64,1.032405
4090,2,tpe,128,1.021296
4090,2,tpe,256,1.014215
4090,2,tpe,512,1.008151
4090,2,tpe,1024,1.005203
4090,2,our_rule,0,1.063484
4090,2,vendor,0,1.073330
4090,3,random,1,1.676063
4090,3,random,2,1.264978
4090,3,random,4,1.173813
4090,3,random,8,1.111174
4090,3,random,16,1.074577
4090,3,random,32,1.048780
4090,3,random,64,1.032828
4090,3,random,128,1.023134
4090,3,random,256,1.015499
4090,3,random,512,1.010775
4090,3,random,1024,1.006972
4090,3,random,2048,1.004556
4090,3,random,4096,1.002534
4090,3,random_pruned,1,1.449004
4090,3,random_pruned,2,1.275084
4090,3,random_pruned,4,1.176955
4090,3,random_pruned,8,1.116789
4090,3,random_pruned,16,1.071267
4090,3,random_pruned,32,1.049205
4090,3,random_pruned,64,1.034707
4090,3,random_pruned,128,1.023322
4090,3,random_pruned,256,1.016664
4090,3,random_pruned,512,1.011448
4090,3,random_pruned,1024,1.007441
4090,3,random_pruned,2048,1.004773
4090,3,random_pruned,4096,1.002787
4090,3,random_cond,1,1.975850
4090,3,random_cond,2,1.365555
4090,3,random_cond,4,1.184365
4090,3,random_cond,8,1.136476
4090,3,random_cond,16,1.085223
4090,3,random_cond,32,1.060885
4090,3,random_cond,64,1.043128
4090,3,random_cond,128,1.029063
4090,3,random_cond,256,1.017226
4090,3,random_cond,512,1.012992
4090,3,random_cond,1024,1.008553
4090,3,random_cond,2048,1.006064
4090,3,random_cond,4096,1.003660
4090,3,tpe,1,1.528728
4090,3,tpe,2,1.383649
4090,3,tpe,4,1.224639
4090,3,tpe,8,1.103924
4090,3,tpe,16,1.063432
4090,3,tpe,32,1.037977
4090,3,tpe,64,1.027371
4090,3,tpe,128,1.016279
4090,3,tpe,256,1.010258
4090,3,tpe,512,1.008171
4090,3,tpe,1024,1.006263
4090,3,our_rule,0,1.033053
4090,3,vendor,0,1.063432
4090,pooled,random,1,1.757532
4090,pooled,random,2,1.310452
4090,pooled,random,4,1.185906
4090,pooled,random,8,1.113944
4090,pooled,random,16,1.076752
4090,pooled,random,32,1.050359
4090,pooled,random,64,1.035946
4090,pooled,random,128,1.025322
4090,pooled,random,256,1.017408
4090,pooled,random,512,1.012505
4090,pooled,random,1024,1.008087
4090,pooled,random,2048,1.005215
4090,pooled,random,4096,1.002712
4090,pooled,random_pruned,1,1.486971
4090,pooled,random_pruned,2,1.293117
4090,pooled,random_pruned,4,1.183203
4090,pooled,random_pruned,8,1.119494
4090,pooled,random_pruned,16,1.077208
